SourceTextTitle,SourceTextCode,EventID,PageNumber,OrderWithinPage,begin_word,end_word
"Absalom, Absalom!",AA,16041,224,224.01,"It broke down, it vanished into that old impotent","""No,"" Shreve said, ""you wait.  Let me play a while"
"Absalom, Absalom!",AA,16042,224,224.02,"""No,"" Shreve said, ""you wait.  Let me play a while",""" - no reserve to risk a spotting shot with now"
"Absalom, Absalom!",AA,16043,225,225.01,""" - no reserve to risk a spotting shot with now",that after he went away with the regiment
"Absalom, Absalom!",AA,16044,225,225.02,that after he went away with the regiment,Maybe he even delivered the first string
"Absalom, Absalom!",AA,16045,226,226.01,Maybe he even delivered the first string,and Father said how that afternoon Grandfather rode
"Absalom, Absalom!",AA,16046,227,227.01,and Father said how that afternoon Grandfather rode,"""So that Sunday came, a year after that day"
"Absalom, Absalom!",AA,16047,228,228.01,"""So that Sunday came, a year after that day",(Father said Judith actually did this; this was no lie
"Absalom, Absalom!",AA,16048,228,228.02,(Father said Judith actually did this; this was no lie,So it was not until he failed to return at
"Absalom, Absalom!",AA,16049,229,229.01,So it was not until he failed to return at,and the boy walked whistling around the corner
"Absalom, Absalom!",AA,16050,229,229.02,and the boy walked whistling around the corner,Then about a week later they caught
"Absalom, Absalom!",AA,16051,229,229.03,Then about a week later they caught,and she told how she didn't know that Wash
"Absalom, Absalom!",AA,16052,229,229.04,and she told how she didn't know that Wash,"""Wait,"" Shreve said; ""wait.  You mean that he had"
"Absalom, Absalom!",AA,16053,230,230.01,"""Wait,"" Shreve said; ""wait.  You mean that he had",""" - walked the three miles and back before midnight"
"Absalom, Absalom!",AA,16054,230,230.02,""" - walked the three miles and back before midnight",until daylight came and the granddaughter stopped screaming
"Absalom, Absalom!",AA,16055,230,230.03,until daylight came and the granddaughter stopped screaming,and maybe still standing there and holding the stallion's
"Absalom, Absalom!",AA,16056,231,231.01,and maybe still standing there and holding the stallion's,"""Wait,"" Shreve said; ""for Christ's sake wait."
"Absalom, Absalom!",AA,16057,231,231.02,"""Wait,"" Shreve said; ""for Christ's sake wait.",""" - sat there all that day in the little window"
"Absalom, Absalom!",AA,16058,231,231.03,""" - sat there all that day in the little window",Then they rode up.  He must have been listening
"Absalom, Absalom!",AA,16059,233,233.01,Then they rode up.  He must have been listening,"""Wait,"" Shreve said.  ""You mean that he got the son"
"Absalom, Absalom!",AA,16060,234,234.01,"""Wait,"" Shreve said.  ""You mean that he got the son","Sitting in Grandfather's office that afternoon, with"
"Absalom, Absalom!",AA,16061,234,234.02,"Sitting in Grandfather's office that afternoon, with","""Will you wait?"" Shreve said. "" - that with the son"
"Absalom, Absalom!",AA,16062,234,234.03,"""Will you wait?"" Shreve said. "" - that with the son",There would be no deep breathing tonight.  The window
"Absalom, Absalom!",AA,16063,235,235.01,There would be no deep breathing tonight.  The window,"""So the old man sent the nigger for Henry,"""
"Absalom, Absalom!",AA,16064,235,235.02,"""So the old man sent the nigger for Henry,""","Shreve stood beside the table, facing Quentin"
"Absalom, Absalom!",AA,16065,235,235.03,"Shreve stood beside the table, facing Quentin","one in a Mississippi library sixty years ago, with"
"Absalom, Absalom!",AA,16066,236,236.01,"one in a Mississippi library sixty years ago, with",be already clattering over the frozen ruts
"Absalom, Absalom!",AA,16067,237,237.01,be already clattering over the frozen ruts,"""And Bon didn't know it,"" Shreve said.  ""The old man"
"Absalom, Absalom!",AA,16068,237,237.02,"""And Bon didn't know it,"" Shreve said.  ""The old man","But Bon didn't.  Listen, dont you remember how"
"Absalom, Absalom!",AA,16069,237,237.03,"But Bon didn't.  Listen, dont you remember how","Jesus, you can almost see him: a little boy"
"Absalom, Absalom!",AA,16070,238,238.01,"Jesus, you can almost see him: a little boy",They stared at one another - glared rather - their
"Absalom, Absalom!",AA,16071,240,240.01,They stared at one another - glared rather - their,"""Then he got older and got out from under"
"Absalom, Absalom!",AA,16072,240,240.02,"""Then he got older and got out from under",and so all to check him up about the money
"Absalom, Absalom!",AA,16073,240,240.03,and so all to check him up about the money,"Sure, that's who it would be: the lawyer,"
